,Eventdata
126,"[[], [[22.0, 0.5161665057456848, 0.0095667726957586, 0.0, 10, 0.4553172835385853, 0.0018689419631773322], 1], [[22.0, 0.3093884445022675, 0.06549486642602481, 1.0, 15, 0.19570247933884297, 0.0118187682633771], 1], [0.8502050638198853, 0.06845008581876755, 0.08134482055902481], 0]"
127,"[[], [[16.0, 0.3016473617326627, 0.043946148581547814, 2.0, 22, 0.17081296749080002, 0.005477185121542014], 1], [[16.0, 0.2669045316432532, 0.06275315339033824, 1.0, 13, 0.17949891203802765, -741344.0887809856], 0], [0.7729830145835876, 0.09989869594573975, 0.1271183043718338], 0]"
128,"[[[17.0, 0.27424888427877014, 0.08705039213131603, 3.0, 17, 0.15210907766452178, 5.967999727313693], 1], [], [[17.0, 0.5433293417114788, 0.10268272756941313, 0.0, 0, 0.36250446915418616, -951934.1105692995], 1], [0.8946766257286072, 0.03479594737291336, 0.07052744179964066], 0]"
129,"[[], [[40.0, 0.3899581167755266, 0.03161063558208632, 0.0, 16, 0.3572752135629477, 0.011128095274750944], 1], [], [0.7053044438362122, 0.20402875542640686, 0.090666763484478], 0]"
130,"[[[23.0, 0.2669061019417522, 0.03918958617995817, 2.0, 20, 0.14652767649829967, 0.005811638752659839], 0], [], [[23.0, 0.3525762545747625, 0.05845679382804817, 2.0, 16, 0.29606144889106656, -847114.4382739312], 0], [0.9122650623321533, 0.02858565002679825, 0.05914926156401634], 0]"
131,"[[], [[19.0, 0.3801357996636709, 0.05740420803220397, 5.0, 11, 0.2855350855919518, 0.011669682297050748], 0], [], [0.13800625503063202, 0.7396056056022644, 0.12238813191652298], 0]"
132,"[[[38.0, 0.5745596581295616, 0.0076716922133283055, 1.0, 15, 0.5268019859545866, 0.0011527608521759009], 1], [[38.0, 0.21587116534330367, 0.07088801605628571, 0.0, 32, 0.11770073336726807, 0.015688624343665147], 1], [], [0.8747968077659607, 0.0916227400302887, 0.033580463379621506], 0]"
133,"[[[25.0, 0.48112772767388656, 0.05150353388581087, 0.0, 0, 0.3409486053350953, 0.01367374823865184], 1], [], [], [0.46627286076545715, 0.2848306894302368, 0.24889646470546722], 0]"
134,"[[], [[17.0, 0.3501044446072463, 0.0824188564967051, 0.0, 0, 0.27525259329112217, 0.02127265413874214], 0], [], [0.28335458040237427, 0.5984094738960266, 0.11823593825101852], 0]"
135,"[[[16.0, 0.5209623272395973, 0.010409729559288533, 1.0, 9, 0.39576176518741857, 0.0025117443496923213], 0], [], [], [0.06778526306152344, 0.4216599762439728, 0.5105547904968262], 0]"
136,"[[[16.0, 0.38836867343872783, 0.03211023370568723, 2.0, 18, 0.26713545059475474, 0.011720614107725614], 1], [], [], [0.10296915471553802, 0.6501224040985107, 0.24690844118595123], 0]"
137,"[[[18.0, 0.36197595709081526, 0.04141431609846963, 2.0, 14, 0.2149242495530253, 0.006505363457504636], 1], [], [[18.0, 0.3613662270556482, 0.048332243248904956, 6.0, 12, 0.23345283417556953, 0.0062240017938042305], 0], [0.4731940031051636, 0.30007123947143555, 0.22673475742340088], 0]"
138,"[[], [[19.0, 0.34866227070629374, 0.03597483473860783, 0.0, 12, 0.2200680588967006, 0.019421742015169136], 1], [[19.0, 0.30766458113994133, 0.04275985930972354, 0.0, 10, 0.15876608979586773, 0.004146115867485402], 1], [0.8091860413551331, 0.07862198352813721, 0.11219196021556854], 0]"
139,"[[[23.0, 0.3163075859414299, 0.03450690831849472, 4.0, 14, 0.19691363138869145, 0.007615560529299976], 1], [], [], [0.7463012337684631, 0.1042824238538742, 0.14941635727882385], 0]"
140,"[[], [[16.0, 0.6734730725540564, 0.01708176891564013, 1.0, 1, 0.6536054452206108, 0.007701663601276193], 0], [[16.0, 0.4269362497464938, 0.0720674123808715, 0.0, 0, 0.3649343577953899, 0.02016041180653169], 0], [0.3157980442047119, 0.4999108612537384, 0.18429109454154968], 0]"
141,"[[[16.0, 0.21744932497884936, 0.11475800872013632, 3.0, 17, 0.09285331384665442, 0.023425803032763454], 0], [], [], [0.1436256468296051, 0.7510105967521667, 0.10536373406648636], 0]"
142,"[[[17.0, 0.505788168552407, 0.03500866856766841, 3.0, 11, 0.3402408478318583, 0.0027242473922343313], 1], [[17.0, 0.4719347859197675, 0.043690946335485044, 2.0, 2, 0.3530691530691531, 0.013264215587671952], 0], [], [0.20684446394443512, 0.6279574632644653, 0.16519804298877716], 0]"
143,"[[[16.0, 0.5322351695350352, 0.007004439646760767, 0.0, 10, 0.42060309488838143, 0.001391785290313507], 1], [[16.0, 0.2438772368460673, 0.041264765349963275, 4.0, 34, 0.14920273837898423, 0.005161107324184857], 0], [], [0.9315387010574341, 0.03573276102542877, 0.03272856026887894], 0]"
144,"[[], [[21.0, 0.37777094211470624, 0.040299100702269476, 1.0, 5, 0.3037978774547232, 0.005145878534186172], 0], [], [0.5168029069900513, 0.19266225397586823, 0.2905348241329193], 0]"
145,"[[[14.0, 0.5220630690084452, 0.008280932159551403, 2.0, 18, 0.4718323476581468, 0.001757508586999929], 1], [[14.0, 0.32726770270098504, 0.02371937753149749, 4.0, 28, 0.2606247236679827, 0.005137948684020567], 0], [], [0.8316417336463928, 0.063043013215065, 0.10531523078680038], 0]"
146,"[[[20.0, 0.28096049350343966, 0.03857189737587405, 1.0, 17, 0.1481095884210169, 0.005991685096390401], 0], [], [[20.0, 0.37899848880621656, 0.09120125110519452, 0.0, 0, 0.2981246989982218, -828017.9981304023], 1], [0.10698612779378891, 0.7752941846847534, 0.11771971732378006], 0]"
147,"[[], [[16.0, 0.4239564313769479, 0.02216877194272686, 1.0, 19, 0.3123570039833159, 0.004939429172582131], 1], [[16.0, 0.4532370666446877, 0.012213124339105602, 2.0, 14, 0.4052378690532737, 0.004071268946488844], 1], [0.9315387010574341, 0.03573276102542877, 0.03272856026887894], 0]"
148,"[[], [[22.0, 0.3192613136714175, 0.054227521828196075, 2.0, 12, 0.2575922150966417, 0.014019658273885531], 0], [[22.0, 0.3962573146589315, 0.06025669481815367, 0.0, 10, 0.2838291325492788, 0.015495405781349175], 0], [0.08429297804832458, 0.40332531929016113, 0.5123817324638367], 0]"
149,"[[], [[11.0, 0.2921847464678334, 0.0324379743288563, 3.0, 19, 0.19168231565097782, 0.005803190514803938], 0], [[11.0, 0.2715789195388291, 0.11435012248119457, 1.0, 15, 0.12770405464034723, 0.016809846827339953], 1], [0.8877050280570984, 0.08400484919548035, 0.028290141373872757], 0]"
150,"[[], [], [], [0.08019928634166718, 0.7776812314987183, 0.14211946725845337], 0]"
151,"[[[17.0, 0.2019403788910417, 0.06729849420245974, 0.0, 28, 0.08999969359335969, 0.007318293790716268], 0], [], [], [0.5341050028800964, 0.2758638262748718, 0.19003114104270935], 0]"
152,"[[[22.0, 0.5221847768651481, 0.022480837383564788, 1.0, 17, 0.49543341307716754, 0.004604561854563287], 0], [[22.0, 0.2593379181365799, 0.03336040609299285, 4.0, 20, 0.1448580993851338, 0.007491133756328098], 1], [], [0.06383171677589417, 0.5400347113609314, 0.39613354206085205], 0]"
153,"[[], [], [], [0.16567382216453552, 0.7061381936073303, 0.12818796932697296], 0]"
154,"[[], [[14.0, 0.55430547551964, 0.02903274525783668, 3.0, 9, 0.515770459913853, 0.007969682101110815], 1], [], [0.442992240190506, 0.3365209996700287, 0.22048676013946533], 0]"
155,"[[], [[26.0, 0.3272964519858709, 0.038003311220380157, 5.0, 11, 0.2160934550254787, 0.0071241962687581374], 1], [], [0.5863926410675049, 0.2628621459007263, 0.1507451981306076], 0]"
156,"[[[13.0, 0.3566634717308627, 0.030567946601467354, 3.0, 19, 0.2975635824155048, 0.032199961096499634], 0], [], [], [0.8920846581459045, 0.07919178158044815, 0.02872355654835701], 0]"
157,"[[[23.0, 0.3922282132503369, 0.028705341539750504, 0.0, 12, 0.26395052132758534, 0.005046753814975158], 0], [[23.0, 0.2741682308439222, 0.05104794190538348, 1.0, 13, 0.16089852422619824, 0.0070979281042843016], 0], [[23.0, 0.46848728131386275, 0.04567802692551503, 1.0, 1, 0.30691675872688673, 0.007475924672436903], 0], [0.2830849885940552, 0.5341842770576477, 0.18273071944713593], 0]"
158,"[[], [[7.0, 0.6672619315291753, 0.01026700322795419, 0.0, 0, 0.623769885269974, 0.0035703376386695992], 0], [], [0.3382546305656433, 0.519030749797821, 0.14271458983421326], 0]"
159,"[[], [[16.0, 0.4808504695368828, 0.07003633190015904, 0.0, 0, 0.3650401158498953, 0.014379632953254241], 0], [], [0.19146215915679932, 0.6840133666992188, 0.12452446669340134], 0]"
160,"[[[24.0, 0.5756071966258002, 0.03436218715903039, 0.0, 0, 0.5413175301055707, 0.008808670599374901], 1], [], [], [0.05575565621256828, 0.5030630230903625, 0.44118133187294006], 0]"
161,"[[[15.0, 0.2087649137562475, 0.08297827829773817, 1.0, 19, 0.11597199237694525, 0.013079124249880588], 0], [], [], [0.5354851484298706, 0.3682311177253723, 0.09628373384475708], 0]"
162,"[[], [[18.0, 0.5626198387922225, 0.041321670194832294, 0.0, 0, 0.5453844516177291, 0.018630895074123063], 1], [], [0.457974910736084, 0.3455163240432739, 0.1965087652206421], 0]"
163,"[[], [[18.0, 0.371043595276607, 0.07646582563706256, 1.0, 11, 0.24594122381672195, 0.012263403370833002], 0], [], [0.16832943260669708, 0.42041918635368347, 0.41125139594078064], 0]"
164,"[[], [], [[23.0, 0.3263410817187356, 0.0572569642895963, 2.0, 18, 0.2174136561200168, 0.009689333440073715], 0], [0.19350866973400116, 0.692796528339386, 0.11369482427835464], 0]"
165,"[[], [], [], [0.3640816807746887, 0.55202317237854, 0.08389513939619064], 0]"
166,"[[], [], [[17.0, 0.40876749592083167, 0.0656859379668206, 3.0, 7, 0.32407443198070396, 0.018822885093474847], 0], [0.312556654214859, 0.33322227001190186, 0.35422107577323914], 0]"
167,"[[], [[13.0, 0.22955175747323073, 0.0434794325701503, 5.0, 25, 0.13140956900424652, 0.012583437664047037], 0], [], [0.2588352560997009, 0.559310257434845, 0.1818544566631317], 0]"
168,"[[[15.0, 0.45814402545299215, 0.016964564908178298, 2.0, 22, 0.40394755898235185, 0.0036519326270220247], 0], [], [[15.0, 0.4317157804720828, 0.06548249063125607, 5.0, 11, 0.36539024012571186, -425467.60712163267], 0], [0.18008451163768768, 0.6897271871566772, 0.13018827140331268], 0]"
169,"[[[17.0, 0.23508871705691528, 0.030310053687587917, 2.0, 24, 0.14445228621791265, 0.0033159798348151013], 0], [[17.0, 0.36843866636357997, 0.02651097856229685, 0.0, 12, 0.2142518334732003, 0.0032321809958363425], 0], [[17.0, 0.5148289995274021, 0.03031273093556669, 1.0, 9, 0.422764089227875, -573315.7437719007], 0], [0.41765275597572327, 0.48897403478622437, 0.09337321668863297], 0]"
170,"[[[18.0, 0.43481722982466225, 0.02258647949444141, 2.0, 16, 0.4102096095124145, 0.010517047730660591], 1], [[18.0, 0.5951826680881254, 0.02612661202598096, 0.0, 0, 0.5500073405927618, 0.016687615226544415], 1], [], [0.06982627511024475, 0.8500145673751831, 0.08015917986631393], 0]"
171,"[[[19.0, 0.6998598178216286, 0.01578383595987258, 1.0, 3, 0.6815206471739016, 0.004193238088209769], 1], [], [], [0.07118495553731918, 0.6588508486747742, 0.26996418833732605], 0]"
172,"[[[18.0, 0.6332852086068907, 0.08092093046509931, 0.0, 0, 0.5395928143712575, 0.00973144767957374], 1], [], [], [0.8022976517677307, 0.10478254407644272, 0.09291978925466537], 0]"
173,"[[[15.0, 0.41255231828617417, 0.010403383124962558, 1.0, 13, 0.25505218073234, 0.001581667807001415], 0], [], [[15.0, 0.5036900203179786, 0.020961140255925565, 0.0, 6, 0.4035275910352677, 0.002275734876717789], 0], [0.8732513189315796, 0.09414997696876526, 0.03259871527552605], 0]"
174,"[[[16.0, 0.2589467798133168, 0.04543687336290871, 2.0, 22, 0.11415987935929593, 0.008405429392896901], 0], [], [[16.0, 0.4018594055211842, 0.06939226127319732, 3.0, 5, 0.31090970005818974, 0.009327113273854742], 0], [0.7318461537361145, 0.15364451706409454, 0.11450932919979095], 0]"
175,"[[[31.0, 0.22334806588510808, 0.08749462388095801, 2.0, 22, 0.1082169286410582, 0.01686753226117096], 0], [], [[31.0, 0.271117999422241, 0.09452217954804276, 2.0, 10, 0.15649000612491623, 0.014818196639926494], 1], [0.3591955602169037, 0.5476363301277161, 0.09316810220479965], 0]"
176,"[[], [], [], [0.051200419664382935, 0.527266263961792, 0.42153334617614746], 0]"
177,"[[[30.0, 0.29143196045945025, 0.04918624447148732, 11.0, 23, 0.16347209943571153, 0.007967532005312835], 0], [], [[30.0, 0.28619177832864245, 0.11523481367110608, 0.0, 14, 0.19656305767344098, 0.026207750479641467], 0], [0.7392188906669617, 0.15561969578266144, 0.10516142845153809], 0]"
178,"[[], [[32.0, 0.2560592724067975, 0.04973248998148186, 4.0, 18, 0.12891307287904905, 0.008330884340895454], 0], [[32.0, 0.227668049894516, 0.08153689424964232, 1.0, 15, 0.11510407993338884, 0.015922797596536423], 0], [0.8310497999191284, 0.07599468529224396, 0.09295550733804703], 0]"
179,"[[], [[16.0, 0.3076496586225521, 0.09595649871847597, 2.0, 16, 0.15718614658715113, 10.461343003036], 1], [[16.0, 0.3832802902471835, 0.23393851616263175, 3.0, 7, 0.23413032324268856, -475685.79951414786], 0], [0.6938691735267639, 0.13345880806446075, 0.17267200350761414], 0]"
180,"[[], [[19.0, 0.3421576971625535, 0.062156361144623695, 1.0, 11, 0.19749418502374855, 0.01664356974658021], 1], [], [0.06710410118103027, 0.817791759967804, 0.11510413140058517], 0]"
181,"[[], [[12.0, 0.43827995650865814, 0.057959043583651296, 0.0, 0, 0.3506357617002754, 0.012211699913517908], 0], [], [0.18326464295387268, 0.6642003059387207, 0.15253503620624542], 0]"
182,"[[], [[22.0, 0.3923547176043052, 0.03120014233803986, 2.0, 12, 0.31629306053690465, 0.0016715869303972311], 0], [], [0.26649990677833557, 0.5657605528831482, 0.16773957014083862], 0]"
183,"[[[21.0, 0.4615527346073027, 0.012583103907577739, 8.0, 24, 0.43233080536752255, 0.002270224041290957], 0], [], [], [0.9347460865974426, 0.041423749178647995, 0.02383018285036087], 0]"
184,"[[], [], [[19.0, 0.3052406453084423, 0.09477164338083222, 2.0, 12, 0.16548786979998478, 0.01947606267419459], 0], [0.3778996765613556, 0.340943306684494, 0.2811570167541504], 0]"
185,"[[[26.0, 0.6044103340983722, 0.028076408493045848, 0.0, 0, 0.5082221574778608, 0.007658409818533481], 1], [], [], [0.7258327603340149, 0.13183917105197906, 0.14232806861400604], 0]"
186,"[[[17.0, 0.4802264551106757, 0.008339465791723167, 0.0, 18, 0.4366949943865335, 0.0027855673908690846], 0], [], [[17.0, 0.3057049372064081, 0.09264627920215786, 4.0, 10, 0.17051979200391149, 0.013720384171590152], 1], [0.9589937329292297, 0.020336531102657318, 0.02066975273191929], 0]"
187,"[[[21.0, 0.3632150296280839, 0.019961009963531857, 3.0, 15, 0.2319445907430391, 0.002296883650197866], 0], [[21.0, 0.7225156859448371, 0.016790609511174066, 0.0, 0, 0.7154692997389627, 0.00742394896247181], 1], [], [0.24442310631275177, 0.6266897916793823, 0.1288871318101883], 0]"
188,"[[[26.0, 0.42014308257684313, 0.03155669179312449, 3.0, 11, 0.2828234628120668, 0.005580496066039299], 0], [], [[26.0, 0.32596296299948185, 0.07533728858914479, 2.0, 10, 0.2559743550738887, -329022.10071600834], 1], [0.7159451842308044, 0.21196913719177246, 0.07208569347858429], 0]"
189,"[[[22.0, 0.5046618996150357, 0.018808797914232463, 1.0, 11, 0.3975723149993423, 0.006264854679081726], 1], [], [], [0.7082291841506958, 0.12450996786355972, 0.16726084053516388], 0]"
190,"[[[10.0, 0.36682492978127595, 0.02731519489661606, 3.0, 15, 0.23407983902530213, 0.0025294233741538674], 0], [[10.0, 0.34681939833559544, 0.06758830908977821, 10.0, 20, 0.2427620049989973, 0.021172312259561118], 0], [], [0.37049058079719543, 0.42570483684539795, 0.2038045972585678], 0]"
191,"[[], [], [], [0.5921081900596619, 0.35070207715034485, 0.05718975514173508], 0]"
192,"[[], [[15.0, 0.4188332448123402, 0.03557865017828591, 4.0, 8, 0.32737539140701194, 0.005544837748513884], 1], [], [0.059460435062646866, 0.2681872248649597, 0.6723523736000061], 0]"
193,"[[], [], [[25.0, 0.29192726687597004, 0.0888804617205573, 4.0, 16, 0.17326423198693258, 0.018103466165674018], 0], [0.15479664504528046, 0.675493597984314, 0.16970977187156677], 0]"
194,"[[], [], [[8.0, 0.414787018334326, 0.0846539908846594, 2.0, 6, 0.28431372549019607, -259079.90834256107], 0], [0.6100049018859863, 0.2876245379447937, 0.10237053036689758], 0]"
195,"[[[17.0, 0.6315333192045016, 0.008557349731453001, 2.0, 12, 0.5797558093737692, 0.003337346403008215], 1], [[17.0, 0.5332564874686067, 0.046736936849642224, 0.0, 0, 0.5079621315307135, 0.01481754301949109], 0], [], [0.15633229911327362, 0.6796543598175049, 0.1640133261680603], 0]"
196,"[[], [[16.0, 0.4407086107098408, 0.05208270105201151, 1.0, 9, 0.35034924829045716, 0.0110404874468937], 0], [], [0.0806502103805542, 0.6578867435455322, 0.2614630460739136], 0]"
197,"[[], [[21.0, 0.298371750159563, 0.06695189657571952, 5.0, 17, 0.18268255325920474, 0.011765852897463883], 0], [], [0.15157441794872284, 0.694667637348175, 0.1537579596042633], 0]"
198,"[[], [], [], [0.1553143858909607, 0.37540343403816223, 0.4692821800708771], 0]"
199,"[[[11.0, 0.2686430635775652, 0.0362707773200079, 2.0, 20, 0.15972000006124232, 0.007001896277019556], 0], [], [[11.0, 0.7169237294622963, 0.01995802792697091, 0.0, 0, 0.6902752493389234, -1031771.3195935684], 0], [0.8055161833763123, 0.08695898950099945, 0.10752484947443008], 0]"
200,"[[[10.0, 0.3221618585485392, 0.02115132577236886, 3.0, 27, 0.25278485620677105, 0.006499437881894812], 0], [[10.0, 0.23332470322547802, 0.09373280093247327, 0.0, 30, 0.10904923789701695, 0.012137504051348497], 1], [], [0.4257042407989502, 0.4822523295879364, 0.0920434445142746], 0]"
201,"[[[13.0, 0.23804625974552882, 0.05817336582485388, 1.0, 19, 0.11135468413948334, 0.009385973425305946], 0], [], [[13.0, 0.46473658491743897, 0.06644742944362864, 4.0, 8, 0.31897909744377223, -368682.2149646884], 0], [0.8755470514297485, 0.07769917696714401, 0.046753786504268646], 0]"
202,"[[], [], [], [0.8086423873901367, 0.10111422836780548, 0.0902433693408966], 0]"
203,"[[], [[18.0, 0.3977819803146152, 0.04233125905085265, 3.0, 13, 0.3380148817176031, 0.007561303663939745], 0], [[18.0, 0.5950972935884274, 0.035249259687475484, 0.0, 0, 0.5827646243979311, 0.016835096010998918], 1], [0.09285944700241089, 0.38971540331840515, 0.5174251794815063], 0]"
204,"[[[13.0, 0.33721897922146515, 0.022885467361316178, 3.0, 21, 0.18517202423225357, 0.004767406761915745], 1], [], [], [0.10959656536579132, 0.7377801537513733, 0.15262329578399658], 0]"
205,"[[[14.0, 0.35049491310233827, 0.013096063061032419, 3.0, 17, 0.2172353056298519, 0.0021923236738381788], 0], [], [], [0.9346976280212402, 0.03602636232972145, 0.029276037588715553], 0]"
206,"[[], [], [], [0.7605682015419006, 0.13369044661521912, 0.10574138164520264], 0]"
207,"[[[21.0, 0.4721956436104093, 0.016007537633181888, 2.0, 22, 0.425122640039913, 0.003218090531799063], 1], [], [], [0.615783154964447, 0.303287148475647, 0.08092968165874481], 0]"
208,"[[], [], [[20.0, 0.3159267386907128, 0.1221873625821121, 1.0, 9, 0.20309848881277454, 0.018031424419521512], 1], [0.37524881958961487, 0.35892969369888306, 0.2658214867115021], 0]"
209,"[[], [], [], [0.3551616966724396, 0.4473966658115387, 0.19744162261486053], 0]"
210,"[[[15.0, 0.341641835573692, 0.03208238514638824, 0.0, 12, 0.24591083488523413, 0.0015785478487792613], 0], [], [], [0.06550617516040802, 0.47031182050704956, 0.4641820192337036], 0]"
211,"[[], [], [], [0.4450952708721161, 0.3883019983768463, 0.1666027307510376], 0]"
212,"[[[16.0, 0.3648269701293611, 0.027380676502368143, 0.0, 16, 0.2398285481596216, 0.0035123180993977747], 0], [], [[16.0, 0.504722032523658, 0.04570694777373917, 0.0, 0, 0.4358512154226262, 0.016143893424595036], 0], [0.08455518633127213, 0.38527870178222656, 0.5301660895347595], 0]"
